"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","143","audit trail","QA|Nova Bank - Infopool","Wed Nov 26 18:47:00 UTC 2025","broken","Wed Nov 26 18:47:00 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","157","Update profile - No Auth","QA|Nova Bank - Infopool","Wed Nov 26 18:46:59 UTC 2025","broken","Wed Nov 26 18:46:59 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","144","Get roles - No Auth","QA|Nova Bank - Infopool","Wed Nov 26 18:47:18 UTC 2025","broken","Wed Nov 26 18:47:18 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
"","135","Get roles - successful","QA|Nova Bank - Infopool","Wed Nov 26 18:47:18 UTC 2025","broken","Wed Nov 26 18:47:18 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
"","142","No Auth - Fetch all users","QA|Nova Bank - Infopool","Wed Nov 26 18:47:11 UTC 2025","broken","Wed Nov 26 18:47:11 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","141","Add user to an organization - no auth","QA|Nova Bank - Infopool","Wed Nov 26 18:47:17 UTC 2025","broken","Wed Nov 26 18:47:17 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","145","Weak password - Change password","QA|Nova Bank - Infopool","Wed Nov 26 18:46:57 UTC 2025","broken","Wed Nov 26 18:46:57 UTC 2025","v1 > Profile > Password","Bank User","",""
"","145","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Wed Nov 26 18:47:15 UTC 2025","broken","Wed Nov 26 18:47:15 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","140","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Wed Nov 26 18:47:04 UTC 2025","broken","Wed Nov 26 18:47:04 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","137","Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Nov 26 18:47:04 UTC 2025","broken","Wed Nov 26 18:47:04 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","142","Create organization - no name","QA|Nova Bank - Infopool","Wed Nov 26 18:47:13 UTC 2025","broken","Wed Nov 26 18:47:13 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","141","Get Issue by ID","QA|Nova Bank - Infopool","Wed Nov 26 18:47:02 UTC 2025","broken","Wed Nov 26 18:47:02 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","146","No user credentials","QA|Nova Bank - Infopool","Wed Nov 26 18:46:54 UTC 2025","broken","Wed Nov 26 18:46:54 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","150","Add attachment to issue","QA|Nova Bank - Infopool","Wed Nov 26 18:47:03 UTC 2025","broken","Wed Nov 26 18:47:04 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","146","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Wed Nov 26 18:47:09 UTC 2025","broken","Wed Nov 26 18:47:09 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","141","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Wed Nov 26 18:47:14 UTC 2025","broken","Wed Nov 26 18:47:14 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","136","Get profile - user not logged in","QA|Nova Bank - Infopool","Wed Nov 26 18:46:58 UTC 2025","broken","Wed Nov 26 18:46:58 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","148","Update role status","QA|Nova Bank - Infopool","Wed Nov 26 18:47:19 UTC 2025","broken","Wed Nov 26 18:47:19 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
