"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create a new report","79","Create Report - Duplicate name","QA|Nova Bank - Infopool","Sun May 25 15:27:12 GMT 2025","failed","Sun May 25 15:27:12 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","250","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sun May 25 15:26:53 GMT 2025","passed","Sun May 25 15:26:53 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","81","Update Customer Comment","QA|Nova Bank - Infopool","Sun May 25 15:26:55 GMT 2025","failed","Sun May 25 15:26:55 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","83","Invalid current password - Change password","QA|Nova Bank - Infopool","Sun May 25 15:26:49 GMT 2025","failed","Sun May 25 15:26:49 GMT 2025","v1 > Profile > Password","Bank User","",""
"","79","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sun May 25 15:27:08 GMT 2025","passed","Sun May 25 15:27:09 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","89","Create  organization - without parent id","QA|Nova Bank - Infopool","Sun May 25 15:26:59 GMT 2025","failed","Sun May 25 15:26:59 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","81","Create roles - empty name field","QA|Nova Bank - Infopool","Sun May 25 15:27:09 GMT 2025","failed","Sun May 25 15:27:09 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"Get a specific report by ID","79","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Sun May 25 15:27:12 GMT 2025","failed","Sun May 25 15:27:12 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","90","Update role status","QA|Nova Bank - Infopool","Sun May 25 15:27:09 GMT 2025","failed","Sun May 25 15:27:09 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","83","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sun May 25 15:27:07 GMT 2025","failed","Sun May 25 15:27:07 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","80","Get events - invalid end date","QA|Nova Bank - Infopool","Sun May 25 15:26:51 GMT 2025","failed","Sun May 25 15:26:51 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","82","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun May 25 15:26:56 GMT 2025","failed","Sun May 25 15:26:56 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
