"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get a paginated list of reports with optional filtering","78","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Wed Dec 10 18:52:55 UTC 2025","broken","Wed Dec 10 18:52:55 UTC 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","66","Update profile","QA|Nova Bank - Infopool","Wed Dec 10 18:52:43 UTC 2025","broken","Wed Dec 10 18:52:43 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"Get a paginated list of reports with optional filtering","81","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Wed Dec 10 18:52:55 UTC 2025","broken","Wed Dec 10 18:52:55 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","78","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Wed Dec 10 18:52:48 UTC 2025","broken","Wed Dec 10 18:52:49 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","84","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Wed Dec 10 18:52:56 UTC 2025","broken","Wed Dec 10 18:52:56 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","77","get user role","QA|Nova Bank - Infopool","Wed Dec 10 18:52:49 UTC 2025","broken","Wed Dec 10 18:52:50 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","65","verify OTP","QA|Nova Bank - Infopool","Wed Dec 10 18:52:42 UTC 2025","broken","Wed Dec 10 18:52:42 UTC 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","56","No Auth - Search Customers","QA|Nova Bank - Infopool","Wed Dec 10 18:52:47 UTC 2025","broken","Wed Dec 10 18:52:47 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","61","Update role status","QA|Nova Bank - Infopool","Wed Dec 10 18:52:53 UTC 2025","broken","Wed Dec 10 18:52:53 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","74","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Wed Dec 10 18:52:46 UTC 2025","broken","Wed Dec 10 18:52:46 UTC 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","67","audit trail - No Auth","QA|Nova Bank - Infopool","Wed Dec 10 18:52:44 UTC 2025","broken","Wed Dec 10 18:52:44 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","61","Update user - successful","QA|Nova Bank - Infopool","Wed Dec 10 18:52:49 UTC 2025","broken","Wed Dec 10 18:52:49 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","55","No Auth - Get all Issues","QA|Nova Bank - Infopool","Wed Dec 10 18:52:45 UTC 2025","broken","Wed Dec 10 18:52:45 UTC 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
