"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 23:37:59 GMT 2025","passed","Thu Jun 05 23:37:59 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","99","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Thu Jun 05 23:36:41 GMT 2025","passed","Thu Jun 05 23:36:41 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","30","Get roles - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 23:38:00 GMT 2025","passed","Thu Jun 05 23:38:00 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","37","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Thu Jun 05 23:36:37 GMT 2025","passed","Thu Jun 05 23:36:37 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","26","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Thu Jun 05 23:37:58 GMT 2025","passed","Thu Jun 05 23:37:58 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","25","Update role status - role does not exist","QA|Nova Bank - Infopool","Thu Jun 05 23:38:00 GMT 2025","passed","Thu Jun 05 23:38:00 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","39","Invalid name - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 23:36:51 GMT 2025","failed","Thu Jun 05 23:36:51 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","26","Create organization - name already exists","QA|Nova Bank - Infopool","Thu Jun 05 23:37:59 GMT 2025","passed","Thu Jun 05 23:37:59 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","26","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 23:37:59 GMT 2025","passed","Thu Jun 05 23:37:59 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","37","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Thu Jun 05 23:36:51 GMT 2025","failed","Thu Jun 05 23:36:52 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
