"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","145","Get all Issues","QA|Nova Bank - Infopool","Sun Nov 09 20:10:56 UTC 2025","broken","Sun Nov 09 20:10:56 UTC 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","144","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun Nov 09 20:10:49 UTC 2025","broken","Sun Nov 09 20:10:49 UTC 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","147","Create organization - empty description","QA|Nova Bank - Infopool","Sun Nov 09 20:11:08 UTC 2025","broken","Sun Nov 09 20:11:08 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","147","Get Issue by ID","QA|Nova Bank - Infopool","Sun Nov 09 20:10:56 UTC 2025","broken","Sun Nov 09 20:10:56 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","148","Update Issue","QA|Nova Bank - Infopool","Sun Nov 09 20:10:56 UTC 2025","broken","Sun Nov 09 20:10:56 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"Get a paginated list of reports with optional filtering","145","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Sun Nov 09 20:11:17 UTC 2025","broken","Sun Nov 09 20:11:17 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","137","resend_invitation_toUser","QA|Nova Bank - Infopool","Sun Nov 09 20:10:54 UTC 2025","broken","Sun Nov 09 20:10:54 UTC 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","142","Get Report Data - Question","QA|Nova Bank - Infopool","Sun Nov 09 20:11:20 UTC 2025","broken","Sun Nov 09 20:11:20 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","143","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun Nov 09 20:11:03 UTC 2025","broken","Sun Nov 09 20:11:03 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","520","Successful login","QA|Nova Bank - Infopool","Sun Nov 09 20:10:46 UTC 2025","broken","Sun Nov 09 20:10:47 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
