"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","222","Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 23:47:37 GMT 2025","passed","Thu Jun 05 23:47:37 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","284","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:47:44 GMT 2025","failed","Thu Jun 05 23:47:44 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","100","Get profile - successfully","QA|Nova Bank - Infopool","Thu Jun 05 23:47:40 GMT 2025","passed","Thu Jun 05 23:47:40 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","33","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Thu Jun 05 23:49:01 GMT 2025","passed","Thu Jun 05 23:49:01 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","94","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:47:51 GMT 2025","failed","Thu Jun 05 23:47:51 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","33","No auth - update role","QA|Nova Bank - Infopool","Thu Jun 05 23:49:00 GMT 2025","passed","Thu Jun 05 23:49:00 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","37","Create  organization","QA|Nova Bank - Infopool","Thu Jun 05 23:49:00 GMT 2025","passed","Thu Jun 05 23:49:00 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","33","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:49:01 GMT 2025","passed","Thu Jun 05 23:49:01 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","290","Get events - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:47:41 GMT 2025","passed","Thu Jun 05 23:47:41 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","32","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Thu Jun 05 23:49:00 GMT 2025","passed","Thu Jun 05 23:49:00 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","32","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 23:49:03 GMT 2025","passed","Thu Jun 05 23:49:03 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","36","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Thu Jun 05 23:47:52 GMT 2025","passed","Thu Jun 05 23:47:52 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","32","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Thu Jun 05 23:49:01 GMT 2025","passed","Thu Jun 05 23:49:01 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","148","Add Comment to Customer","QA|Nova Bank - Infopool","Thu Jun 05 23:47:52 GMT 2025","passed","Thu Jun 05 23:47:52 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","36","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 23:49:01 GMT 2025","passed","Thu Jun 05 23:49:01 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","42","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 23:47:37 GMT 2025","passed","Thu Jun 05 23:47:37 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","206","Update profile - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:47:40 GMT 2025","passed","Thu Jun 05 23:47:40 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Get a specific report by ID","31","Get Report by ID","QA|Nova Bank - Infopool","Thu Jun 05 23:49:03 GMT 2025","passed","Thu Jun 05 23:49:03 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","35","Get Report Data - No auth","QA|Nova Bank - Infopool","Thu Jun 05 23:49:03 GMT 2025","passed","Thu Jun 05 23:49:04 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","35","No Auth - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 23:47:53 GMT 2025","passed","Thu Jun 05 23:47:53 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","215","audit trail","QA|Nova Bank - Infopool","Thu Jun 05 23:47:42 GMT 2025","passed","Thu Jun 05 23:47:42 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","37","Fetch Customers Accounts","QA|Nova Bank - Infopool","Thu Jun 05 23:48:59 GMT 2025","passed","Thu Jun 05 23:48:59 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","37","Update Customer Comment Copy","QA|Nova Bank - Infopool","Thu Jun 05 23:47:52 GMT 2025","passed","Thu Jun 05 23:47:52 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"Delete a report (soft delete)","32","Delete Report","QA|Nova Bank - Infopool","Thu Jun 05 23:49:03 GMT 2025","passed","Thu Jun 05 23:49:03 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","178","Get events - invalid start date","QA|Nova Bank - Infopool","Thu Jun 05 23:47:41 GMT 2025","passed","Thu Jun 05 23:47:41 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","31","No Auth - Fetch all users","QA|Nova Bank - Infopool","Thu Jun 05 23:49:00 GMT 2025","passed","Thu Jun 05 23:49:00 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","91","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:47:44 GMT 2025","passed","Thu Jun 05 23:47:45 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","34","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Thu Jun 05 23:48:59 GMT 2025","passed","Thu Jun 05 23:48:59 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","36","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:47:38 GMT 2025","passed","Thu Jun 05 23:47:38 GMT 2025","v1 > Profile > Roles","Bank User","",""
"Get a paginated list of reports with optional filtering","34","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Thu Jun 05 23:49:03 GMT 2025","passed","Thu Jun 05 23:49:03 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","33","Create organization - name already exists","QA|Nova Bank - Infopool","Thu Jun 05 23:49:00 GMT 2025","passed","Thu Jun 05 23:49:00 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","32","Get roles - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 23:49:02 GMT 2025","passed","Thu Jun 05 23:49:02 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"Update an existing report","32","Update Report - Invalid id","QA|Nova Bank - Infopool","Thu Jun 05 23:49:03 GMT 2025","passed","Thu Jun 05 23:49:03 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
