"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","65","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Wed May 14 16:11:53 GMT 2025","failed","Wed May 14 16:11:53 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","53","Get permission by ID - No auth","QA|Nova Bank - Infopool","Wed May 14 16:11:55 GMT 2025","passed","Wed May 14 16:11:55 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","53","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Wed May 14 16:11:41 GMT 2025","passed","Wed May 14 16:11:41 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","54","Update profile - No Auth","QA|Nova Bank - Infopool","Wed May 14 16:11:39 GMT 2025","passed","Wed May 14 16:11:39 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","51","Get profile - No Auth","QA|Nova Bank - Infopool","Wed May 14 16:11:39 GMT 2025","passed","Wed May 14 16:11:39 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","58","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Wed May 14 16:11:53 GMT 2025","failed","Wed May 14 16:11:53 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","57","Create  organization","QA|Nova Bank - Infopool","Wed May 14 16:11:52 GMT 2025","failed","Wed May 14 16:11:52 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","52","Update Customer Comment Copy","QA|Nova Bank - Infopool","Wed May 14 16:11:42 GMT 2025","passed","Wed May 14 16:11:42 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","57","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Wed May 14 16:11:52 GMT 2025","failed","Wed May 14 16:11:52 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","53","No auth - Create  organization","QA|Nova Bank - Infopool","Wed May 14 16:11:52 GMT 2025","passed","Wed May 14 16:11:52 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","57","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Wed May 14 16:12:03 GMT 2025","failed","Wed May 14 16:12:03 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","54","Export Report Data - No auth","QA|Nova Bank - Infopool","Wed May 14 16:12:03 GMT 2025","passed","Wed May 14 16:12:03 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","53","Get profile roles - No Auth","QA|Nova Bank - Infopool","Wed May 14 16:11:38 GMT 2025","passed","Wed May 14 16:11:38 GMT 2025","v1 > Profile > Roles","Bank User","",""
"Update an existing report","53","Update Report - No auth","QA|Nova Bank - Infopool","Wed May 14 16:12:03 GMT 2025","passed","Wed May 14 16:12:03 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","61","Update profile - successful","QA|Nova Bank - Infopool","Wed May 14 16:11:39 GMT 2025","failed","Wed May 14 16:11:39 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","61","Update Customer Comment","QA|Nova Bank - Infopool","Wed May 14 16:11:42 GMT 2025","failed","Wed May 14 16:11:42 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","54","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Wed May 14 16:11:38 GMT 2025","passed","Wed May 14 16:11:38 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","59","Update organization details by ID - successful","QA|Nova Bank - Infopool","Wed May 14 16:11:53 GMT 2025","failed","Wed May 14 16:11:53 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","58","Fetch all organizations","QA|Nova Bank - Infopool","Wed May 14 16:11:52 GMT 2025","failed","Wed May 14 16:11:52 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","197","No auth - Create a New Issue","QA|Nova Bank - Infopool","Wed May 14 16:11:40 GMT 2025","passed","Wed May 14 16:11:41 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Get a paginated list of reports with optional filtering","57","Get Reports Stats","QA|Nova Bank - Infopool","Wed May 14 16:11:55 GMT 2025","failed","Wed May 14 16:11:56 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","60","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Wed May 14 16:11:51 GMT 2025","failed","Wed May 14 16:11:51 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","59","Update user - successful","QA|Nova Bank - Infopool","Wed May 14 16:11:51 GMT 2025","failed","Wed May 14 16:11:51 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","60","Add Comment to Customer","QA|Nova Bank - Infopool","Wed May 14 16:11:42 GMT 2025","failed","Wed May 14 16:11:42 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","359","Get all definitions","QA|Nova Bank - Infopool","Wed May 14 16:11:44 GMT 2025","failed","Wed May 14 16:11:44 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","57","Update profile - no phone number","QA|Nova Bank - Infopool","Wed May 14 16:11:39 GMT 2025","failed","Wed May 14 16:11:39 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","61","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Wed May 14 16:12:03 GMT 2025","failed","Wed May 14 16:12:03 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","62","Change password - successful","QA|Nova Bank - Infopool","Wed May 14 16:11:38 GMT 2025","failed","Wed May 14 16:11:38 GMT 2025","v1 > Profile > Password","Bank User","",""
"","51","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed May 14 16:11:43 GMT 2025","passed","Wed May 14 16:11:43 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","59","Fetch Customers Accounts","QA|Nova Bank - Infopool","Wed May 14 16:11:43 GMT 2025","failed","Wed May 14 16:11:43 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","55","Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed May 14 16:11:43 GMT 2025","failed","Wed May 14 16:11:43 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","58","Add user to an organization - successful","QA|Nova Bank - Infopool","Wed May 14 16:11:54 GMT 2025","failed","Wed May 14 16:11:54 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","56","Get profile - successfully","QA|Nova Bank - Infopool","Wed May 14 16:11:39 GMT 2025","failed","Wed May 14 16:11:39 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","52","Logout session - no session","QA|Nova Bank - Infopool","Wed May 14 16:11:55 GMT 2025","passed","Wed May 14 16:11:55 GMT 2025","v1 > Logout","Bank Admin","",""
"","51","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Wed May 14 16:11:41 GMT 2025","passed","Wed May 14 16:11:41 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","52","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed May 14 16:11:42 GMT 2025","passed","Wed May 14 16:11:42 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","48","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Wed May 14 16:11:43 GMT 2025","passed","Wed May 14 16:11:43 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"Create a new report","57","Create Report - Empty category","QA|Nova Bank - Infopool","Wed May 14 16:12:03 GMT 2025","failed","Wed May 14 16:12:03 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","58","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Wed May 14 16:11:53 GMT 2025","failed","Wed May 14 16:11:53 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
