"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","57","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sat May 24 01:38:32 GMT 2025","failed","Sat May 24 01:38:32 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","70","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sat May 24 01:38:30 GMT 2025","passed","Sat May 24 01:38:30 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","62","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Sat May 24 01:38:40 GMT 2025","failed","Sat May 24 01:38:40 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","61","Get events - no auth","QA|Nova Bank - Infopool","Sat May 24 01:38:32 GMT 2025","passed","Sat May 24 01:38:32 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","60","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sat May 24 01:38:35 GMT 2025","passed","Sat May 24 01:38:35 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","61","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sat May 24 01:38:40 GMT 2025","failed","Sat May 24 01:38:40 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get a specific report by ID","57","Get Report by ID","QA|Nova Bank - Infopool","Sat May 24 01:38:43 GMT 2025","failed","Sat May 24 01:38:43 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","60","Get profile - No Auth","QA|Nova Bank - Infopool","Sat May 24 01:38:31 GMT 2025","passed","Sat May 24 01:38:31 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","61","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Sat May 24 01:38:40 GMT 2025","passed","Sat May 24 01:38:40 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","58","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Sat May 24 01:38:41 GMT 2025","failed","Sat May 24 01:38:41 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","61","Get Report Data - Question","QA|Nova Bank - Infopool","Sat May 24 01:38:44 GMT 2025","failed","Sat May 24 01:38:44 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
