"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","34","Get Reports - No auth","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","120","Get events - invalid start date","QA|Nova Bank - Infopool","Sat Jun 07 22:56:04 GMT 2025","passed","Sat Jun 07 22:56:04 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","35","Fetch all organizations","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","36","Update user - invalid action","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","34","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","34","Get Report Data - No auth","QA|Nova Bank - Infopool","Sat Jun 07 22:57:25 GMT 2025","passed","Sat Jun 07 22:57:25 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","35","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","33","Get Reports Stats","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","33","No Auth - Get all permissions","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","202","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:56:06 GMT 2025","failed","Sat Jun 07 22:56:06 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","33","Get all definitions","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","35","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","35","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","34","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
