"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41","audit trail - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 15:47:16 GMT 2025","passed","Thu Jun 05 15:47:16 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","39","Get profile - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 15:47:15 GMT 2025","passed","Thu Jun 05 15:47:15 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","86","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Thu Jun 05 15:47:22 GMT 2025","passed","Thu Jun 05 15:47:22 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","47","Update user - empty action field","QA|Nova Bank - Infopool","Thu Jun 05 15:47:32 GMT 2025","passed","Thu Jun 05 15:47:32 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","39","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Thu Jun 05 15:47:32 GMT 2025","passed","Thu Jun 05 15:47:32 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","47","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Thu Jun 05 15:47:33 GMT 2025","passed","Thu Jun 05 15:47:34 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","51","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Thu Jun 05 15:47:33 GMT 2025","passed","Thu Jun 05 15:47:33 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","39","Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 15:47:19 GMT 2025","failed","Thu Jun 05 15:47:19 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","38","Update user - no auth","QA|Nova Bank - Infopool","Thu Jun 05 15:47:32 GMT 2025","passed","Thu Jun 05 15:47:32 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","50","Fetch all organizations","QA|Nova Bank - Infopool","Thu Jun 05 15:47:33 GMT 2025","passed","Thu Jun 05 15:47:33 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","51","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 15:47:33 GMT 2025","passed","Thu Jun 05 15:47:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","70","Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 15:47:14 GMT 2025","passed","Thu Jun 05 15:47:14 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","38","Health","QA|Nova Bank - Infopool","Thu Jun 05 15:47:31 GMT 2025","passed","Thu Jun 05 15:47:31 GMT 2025","v1 > Health","Bank Admin","",""
"","43","Empty current password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 15:47:15 GMT 2025","passed","Thu Jun 05 15:47:15 GMT 2025","v1 > Profile > Password","Bank User","",""
