"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 20:52:38 GMT 2025","passed","Sun Jun 08 20:52:38 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","25","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 20:52:39 GMT 2025","passed","Sun Jun 08 20:52:39 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","27","Export Report Data - No auth","QA|Nova Bank - Infopool","Sun Jun 08 20:52:40 GMT 2025","passed","Sun Jun 08 20:52:40 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","45","Update profile","QA|Nova Bank - Infopool","Sun Jun 08 20:51:16 GMT 2025","failed","Sun Jun 08 20:51:16 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","24","get user role","QA|Nova Bank - Infopool","Sun Jun 08 20:52:38 GMT 2025","passed","Sun Jun 08 20:52:38 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","40","Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 20:51:26 GMT 2025","failed","Sun Jun 08 20:51:26 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","62","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 20:51:18 GMT 2025","passed","Sun Jun 08 20:51:18 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","35","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 08 20:51:11 GMT 2025","passed","Sun Jun 08 20:51:11 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","25","Get all definitions","QA|Nova Bank - Infopool","Sun Jun 08 20:52:37 GMT 2025","passed","Sun Jun 08 20:52:37 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Update an existing report","25","Update Report - No auth","QA|Nova Bank - Infopool","Sun Jun 08 20:52:40 GMT 2025","passed","Sun Jun 08 20:52:40 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","28","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 08 20:52:37 GMT 2025","passed","Sun Jun 08 20:52:37 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","28","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 08 20:52:37 GMT 2025","passed","Sun Jun 08 20:52:37 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"Create a new report","25","Create Report","QA|Nova Bank - Infopool","Sun Jun 08 20:52:40 GMT 2025","passed","Sun Jun 08 20:52:40 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
