"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","83","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Tue Jun 03 12:16:37 GMT 2025","failed","Tue Jun 03 12:16:37 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","123","audit trail","QA|Nova Bank - Infopool","Tue Jun 03 12:16:26 GMT 2025","passed","Tue Jun 03 12:16:26 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","343","Export Report Data","QA|Nova Bank - Infopool","Tue Jun 03 12:17:05 GMT 2025","failed","Tue Jun 03 12:17:06 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","82","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Tue Jun 03 12:17:05 GMT 2025","failed","Tue Jun 03 12:17:05 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","84","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue Jun 03 12:16:22 GMT 2025","passed","Tue Jun 03 12:16:22 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","82","Create roles - empty name field","QA|Nova Bank - Infopool","Tue Jun 03 12:16:54 GMT 2025","failed","Tue Jun 03 12:16:54 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","932","Create a New Issue","QA|Nova Bank - Infopool","Tue Jun 03 12:16:27 GMT 2025","passed","Tue Jun 03 12:16:27 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","80","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Tue Jun 03 12:16:41 GMT 2025","passed","Tue Jun 03 12:16:42 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","107","Remove user from an organization - successful","QA|Nova Bank - Infopool","Tue Jun 03 12:16:53 GMT 2025","passed","Tue Jun 03 12:16:54 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","101","Search Customers","QA|Nova Bank - Infopool","Tue Jun 03 12:16:37 GMT 2025","passed","Tue Jun 03 12:16:38 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","82","Update Customer Comment Copy","QA|Nova Bank - Infopool","Tue Jun 03 12:16:36 GMT 2025","passed","Tue Jun 03 12:16:37 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","317","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Tue Jun 03 12:16:28 GMT 2025","passed","Tue Jun 03 12:16:28 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","83","Get profile - user not logged in","QA|Nova Bank - Infopool","Tue Jun 03 12:16:24 GMT 2025","passed","Tue Jun 03 12:16:24 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","81","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Tue Jun 03 12:16:38 GMT 2025","failed","Tue Jun 03 12:16:38 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","80","No auth - get user role","QA|Nova Bank - Infopool","Tue Jun 03 12:16:50 GMT 2025","passed","Tue Jun 03 12:16:50 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","89","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Tue Jun 03 12:16:52 GMT 2025","passed","Tue Jun 03 12:16:52 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","150","Get events - invalid start date","QA|Nova Bank - Infopool","Tue Jun 03 12:16:25 GMT 2025","passed","Tue Jun 03 12:16:25 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","82","No Auth - Search Customers","QA|Nova Bank - Infopool","Tue Jun 03 12:16:38 GMT 2025","passed","Tue Jun 03 12:16:38 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","84","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue Jun 03 12:16:22 GMT 2025","passed","Tue Jun 03 12:16:22 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","83","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Tue Jun 03 12:16:38 GMT 2025","passed","Tue Jun 03 12:16:38 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","83","Get Issue by ID","QA|Nova Bank - Infopool","Tue Jun 03 12:16:35 GMT 2025","failed","Tue Jun 03 12:16:35 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","3194","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Tue Jun 03 12:16:28 GMT 2025","passed","Tue Jun 03 12:16:31 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","164","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Tue Jun 03 12:16:41 GMT 2025","passed","Tue Jun 03 12:16:41 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","93","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Tue Jun 03 12:16:35 GMT 2025","passed","Tue Jun 03 12:16:35 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","419","Change password - successful","QA|Nova Bank - Infopool","Tue Jun 03 12:16:23 GMT 2025","passed","Tue Jun 03 12:16:23 GMT 2025","v1 > Profile > Password","Bank User","",""
"","83","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Tue Jun 03 12:16:36 GMT 2025","passed","Tue Jun 03 12:16:36 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","86","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Tue Jun 03 12:16:37 GMT 2025","failed","Tue Jun 03 12:16:37 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","81","No Auth - Update Issue","QA|Nova Bank - Infopool","Tue Jun 03 12:16:35 GMT 2025","passed","Tue Jun 03 12:16:35 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
