"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","Export Report Data","QA|Nova Bank - Infopool","Tue May 27 23:57:12 GMT 2025","failed","Tue May 27 23:57:12 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","60","Create  organization","QA|Nova Bank - Infopool","Tue May 27 23:57:02 GMT 2025","failed","Tue May 27 23:57:02 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","45","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Tue May 27 23:57:09 GMT 2025","passed","Tue May 27 23:57:09 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","35","Fetch all users in an organization","QA|Nova Bank - Infopool","Tue May 27 23:57:09 GMT 2025","failed","Tue May 27 23:57:09 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","3145","Create  organization - without parent id","QA|Nova Bank - Infopool","Tue May 27 23:57:02 GMT 2025","failed","Tue May 27 23:57:05 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","36","Weak password - Change password","QA|Nova Bank - Infopool","Tue May 27 23:56:54 GMT 2025","failed","Tue May 27 23:56:54 GMT 2025","v1 > Profile > Password","Bank User","",""
"","51","Empty fields - Update definition","QA|Nova Bank - Infopool","Tue May 27 23:57:01 GMT 2025","passed","Tue May 27 23:57:01 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"Update an existing report","33","Update Report - Invalid id","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","failed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","33","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Tue May 27 23:56:57 GMT 2025","passed","Tue May 27 23:56:58 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","33","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Tue May 27 23:56:57 GMT 2025","passed","Tue May 27 23:56:57 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","32","No Auth - Get all permissions","QA|Nova Bank - Infopool","Tue May 27 23:57:10 GMT 2025","passed","Tue May 27 23:57:10 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"Delete a report (soft delete)","33","Delete Report - Invalid id","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","failed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","36","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Tue May 27 23:56:56 GMT 2025","passed","Tue May 27 23:56:57 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","35","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Tue May 27 23:56:55 GMT 2025","passed","Tue May 27 23:56:55 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","35","Create organization - empty street value","QA|Nova Bank - Infopool","Tue May 27 23:57:08 GMT 2025","failed","Tue May 27 23:57:08 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","71","Update organization details by ID - successful","QA|Nova Bank - Infopool","Tue May 27 23:57:09 GMT 2025","passed","Tue May 27 23:57:09 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","34","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Tue May 27 23:56:57 GMT 2025","failed","Tue May 27 23:56:57 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","36","No Auth - Get all Issues","QA|Nova Bank - Infopool","Tue May 27 23:56:56 GMT 2025","passed","Tue May 27 23:56:56 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","35","Get all Issues","QA|Nova Bank - Infopool","Tue May 27 23:56:56 GMT 2025","failed","Tue May 27 23:56:56 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"Update an existing report","33","Update Report - No auth","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","passed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","33","No auth - category by id","QA|Nova Bank - Infopool","Tue May 27 23:57:10 GMT 2025","passed","Tue May 27 23:57:10 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","35","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","failed","Tue May 27 23:57:12 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","35","Get Report Data - Question","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","failed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","38","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Tue May 27 23:56:55 GMT 2025","passed","Tue May 27 23:56:55 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","66","Update user - successful","QA|Nova Bank - Infopool","Tue May 27 23:57:01 GMT 2025","passed","Tue May 27 23:57:01 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","8","New Request","QA|Nova Bank - Infopool","Tue May 27 23:57:01 GMT 2025","broken","Tue May 27 23:57:01 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","35","Get profile - user not logged in","QA|Nova Bank - Infopool","Tue May 27 23:56:54 GMT 2025","passed","Tue May 27 23:56:54 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","35","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Tue May 27 23:57:00 GMT 2025","failed","Tue May 27 23:57:00 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","35","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Tue May 27 23:56:57 GMT 2025","failed","Tue May 27 23:56:57 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Get a paginated list of reports with optional filtering","37","Get Reports - No auth","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","passed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","47","Get profile roles - successful","QA|Nova Bank - Infopool","Tue May 27 23:56:54 GMT 2025","passed","Tue May 27 23:56:54 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","449","Successful login","QA|Nova Bank - Infopool","Tue May 27 23:56:52 GMT 2025","passed","Tue May 27 23:56:53 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","46","Get permission by ID - successful","QA|Nova Bank - Infopool","Tue May 27 23:57:10 GMT 2025","failed","Tue May 27 23:57:10 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","33","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Tue May 27 23:56:57 GMT 2025","passed","Tue May 27 23:56:57 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","57","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Tue May 27 23:57:08 GMT 2025","passed","Tue May 27 23:57:08 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","66","Update definition","QA|Nova Bank - Infopool","Tue May 27 23:57:01 GMT 2025","passed","Tue May 27 23:57:01 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","38","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Tue May 27 23:56:53 GMT 2025","passed","Tue May 27 23:56:53 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","54","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Tue May 27 23:57:09 GMT 2025","passed","Tue May 27 23:57:09 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","35","Get events - invalid start date","QA|Nova Bank - Infopool","Tue May 27 23:56:55 GMT 2025","failed","Tue May 27 23:56:55 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","123","Invalid credentials","QA|Nova Bank - Infopool","Tue May 27 23:56:53 GMT 2025","passed","Tue May 27 23:56:53 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","34","Update profile - no auth","QA|Nova Bank - Infopool","Tue May 27 23:56:54 GMT 2025","passed","Tue May 27 23:56:54 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","83","audit trail","QA|Nova Bank - Infopool","Tue May 27 23:56:55 GMT 2025","passed","Tue May 27 23:56:55 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","36","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Tue May 27 23:56:56 GMT 2025","failed","Tue May 27 23:56:56 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
