"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","194","Get all Issues","QA|Nova Bank - Infopool","Sun Jun 08 22:53:18 GMT 2025","failed","Sun Jun 08 22:53:18 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","3252","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:53:15 GMT 2025","passed","Sun Jun 08 22:53:18 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","87","Update profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 22:53:08 GMT 2025","passed","Sun Jun 08 22:53:08 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","81","Update user - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:54:45 GMT 2025","passed","Sun Jun 08 22:54:45 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","85","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sun Jun 08 22:54:47 GMT 2025","passed","Sun Jun 08 22:54:47 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","142","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 22:52:55 GMT 2025","passed","Sun Jun 08 22:52:55 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","148","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 22:52:55 GMT 2025","passed","Sun Jun 08 22:52:55 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","85","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sun Jun 08 22:54:51 GMT 2025","passed","Sun Jun 08 22:54:51 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","142","Update profile - no auth","QA|Nova Bank - Infopool","Sun Jun 08 22:53:05 GMT 2025","passed","Sun Jun 08 22:53:05 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","80","update role","QA|Nova Bank - Infopool","Sun Jun 08 22:54:45 GMT 2025","passed","Sun Jun 08 22:54:45 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","149","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 08 22:52:53 GMT 2025","passed","Sun Jun 08 22:52:53 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","86","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:53:24 GMT 2025","passed","Sun Jun 08 22:53:24 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","63868","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 08 22:53:36 GMT 2025","passed","Sun Jun 08 22:54:40 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","141","No user credentials","QA|Nova Bank - Infopool","Sun Jun 08 22:52:52 GMT 2025","passed","Sun Jun 08 22:52:52 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","177","Fetch Customer By ID","QA|Nova Bank - Infopool","Sun Jun 08 22:53:28 GMT 2025","passed","Sun Jun 08 22:53:28 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
