"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","185","Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Aug 22 18:57:19 UTC 2025","passed","Fri Aug 22 18:57:20 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","81","No Auth - Get all definitions","QA|Nova Bank - Infopool","Fri Aug 22 18:57:33 UTC 2025","passed","Fri Aug 22 18:57:33 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","92","Update user - invalid action","QA|Nova Bank - Infopool","Fri Aug 22 18:57:35 UTC 2025","passed","Fri Aug 22 18:57:35 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","93","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Fri Aug 22 18:57:04 UTC 2025","passed","Fri Aug 22 18:57:04 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","96","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Fri Aug 22 18:57:37 UTC 2025","passed","Fri Aug 22 18:57:37 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","84","No Auth - Update Issue","QA|Nova Bank - Infopool","Fri Aug 22 18:57:19 UTC 2025","passed","Fri Aug 22 18:57:19 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","84","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Fri Aug 22 18:57:13 UTC 2025","passed","Fri Aug 22 18:57:13 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","129","Add attachment to issue","QA|Nova Bank - Infopool","Fri Aug 22 18:57:19 UTC 2025","failed","Fri Aug 22 18:57:19 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","95","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Fri Aug 22 18:57:37 UTC 2025","passed","Fri Aug 22 18:57:37 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","146","Update Customer Comment","QA|Nova Bank - Infopool","Fri Aug 22 18:57:20 UTC 2025","passed","Fri Aug 22 18:57:21 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","183","Update Issue","QA|Nova Bank - Infopool","Fri Aug 22 18:57:19 UTC 2025","passed","Fri Aug 22 18:57:19 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","125","Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Aug 22 18:57:04 UTC 2025","passed","Fri Aug 22 18:57:04 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","85","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Aug 22 18:57:39 UTC 2025","passed","Fri Aug 22 18:57:39 UTC 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","249","No auth - Create a New Issue","QA|Nova Bank - Infopool","Fri Aug 22 18:57:14 UTC 2025","passed","Fri Aug 22 18:57:14 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","88","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Fri Aug 22 18:57:04 UTC 2025","passed","Fri Aug 22 18:57:04 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","97","Create organization - no country ID","QA|Nova Bank - Infopool","Fri Aug 22 18:57:37 UTC 2025","failed","Fri Aug 22 18:57:37 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","190","Invalid credentials","QA|Nova Bank - Infopool","Fri Aug 22 18:56:56 UTC 2025","passed","Fri Aug 22 18:56:56 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","123","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Fri Aug 22 18:57:22 UTC 2025","failed","Fri Aug 22 18:57:22 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","85","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Fri Aug 22 18:57:19 UTC 2025","failed","Fri Aug 22 18:57:19 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","82","No Auth - Get all Issues","QA|Nova Bank - Infopool","Fri Aug 22 18:57:18 UTC 2025","passed","Fri Aug 22 18:57:18 UTC 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","147","Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Aug 22 18:57:33 UTC 2025","passed","Fri Aug 22 18:57:33 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","187","Weak password - Change password","QA|Nova Bank - Infopool","Fri Aug 22 18:57:06 UTC 2025","passed","Fri Aug 22 18:57:06 UTC 2025","v1 > Profile > Password","Bank User","",""
"","102","Fetch all organizations","QA|Nova Bank - Infopool","Fri Aug 22 18:57:37 UTC 2025","passed","Fri Aug 22 18:57:37 UTC 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","119","Remove user from an organization - successful","QA|Nova Bank - Infopool","Fri Aug 22 18:57:40 UTC 2025","passed","Fri Aug 22 18:57:40 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","83","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Fri Aug 22 18:57:20 UTC 2025","passed","Fri Aug 22 18:57:20 UTC 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","97","Create organization - name already exists","QA|Nova Bank - Infopool","Fri Aug 22 18:57:36 UTC 2025","passed","Fri Aug 22 18:57:36 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","2960","Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Aug 22 18:57:23 UTC 2025","passed","Fri Aug 22 18:57:26 UTC 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","82","audit trail - No Auth","QA|Nova Bank - Infopool","Fri Aug 22 18:57:09 UTC 2025","passed","Fri Aug 22 18:57:09 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
