"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Delete a report (soft delete)","34","Delete Report -No auth","QA|Nova Bank - Infopool","Thu Jun 05 22:52:41 GMT 2025","passed","Thu Jun 05 22:52:41 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","40","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 22:51:21 GMT 2025","failed","Thu Jun 05 22:51:21 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","149","Invalid current password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 22:51:17 GMT 2025","passed","Thu Jun 05 22:51:17 GMT 2025","v1 > Profile > Password","Bank User","",""
"","56","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 22:51:19 GMT 2025","passed","Thu Jun 05 22:51:19 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get a paginated list of reports with optional filtering","35","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 22:52:41 GMT 2025","passed","Thu Jun 05 22:52:41 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","35","Health","QA|Nova Bank - Infopool","Thu Jun 05 22:52:37 GMT 2025","passed","Thu Jun 05 22:52:37 GMT 2025","v1 > Health","Bank Admin","",""
"","48","No user credentials","QA|Nova Bank - Infopool","Thu Jun 05 22:51:12 GMT 2025","passed","Thu Jun 05 22:51:12 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","39","Fetch Customer Comments","QA|Nova Bank - Infopool","Thu Jun 05 22:51:21 GMT 2025","failed","Thu Jun 05 22:51:21 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","39","Update profile - no auth","QA|Nova Bank - Infopool","Thu Jun 05 22:51:18 GMT 2025","passed","Thu Jun 05 22:51:18 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","38","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Thu Jun 05 22:51:22 GMT 2025","failed","Thu Jun 05 22:51:22 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","99","Update profile - successful","QA|Nova Bank - Infopool","Thu Jun 05 22:51:18 GMT 2025","passed","Thu Jun 05 22:51:18 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","38","Create  organization - without parent id","QA|Nova Bank - Infopool","Thu Jun 05 22:52:38 GMT 2025","passed","Thu Jun 05 22:52:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","34","No Auth - Fetch all users","QA|Nova Bank - Infopool","Thu Jun 05 22:52:38 GMT 2025","passed","Thu Jun 05 22:52:38 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","36","No auth - Create  organization","QA|Nova Bank - Infopool","Thu Jun 05 22:52:38 GMT 2025","passed","Thu Jun 05 22:52:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
