"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44","Update role status","QA|Nova Bank - Infopool","Wed May 28 00:18:45 GMT 2025","passed","Wed May 28 00:18:45 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","56","Add Comment to Customer","QA|Nova Bank - Infopool","Wed May 28 00:18:31 GMT 2025","failed","Wed May 28 00:18:31 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Get a paginated list of reports with optional filtering","37","Get Report Objects - Question","QA|Nova Bank - Infopool","Wed May 28 00:18:46 GMT 2025","failed","Wed May 28 00:18:46 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","34","No auth - get all category","QA|Nova Bank - Infopool","Wed May 28 00:18:45 GMT 2025","passed","Wed May 28 00:18:45 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","38","Update profile - successful","QA|Nova Bank - Infopool","Wed May 28 00:18:29 GMT 2025","failed","Wed May 28 00:18:29 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Update an existing report","32","Update Report","QA|Nova Bank - Infopool","Wed May 28 00:18:46 GMT 2025","passed","Wed May 28 00:18:46 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","40","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 28 00:18:28 GMT 2025","passed","Wed May 28 00:18:28 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","35","audit trail - No Auth","QA|Nova Bank - Infopool","Wed May 28 00:18:29 GMT 2025","passed","Wed May 28 00:18:29 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","37","Add user to an organization - no auth","QA|Nova Bank - Infopool","Wed May 28 00:18:44 GMT 2025","passed","Wed May 28 00:18:44 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","33","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Wed May 28 00:18:44 GMT 2025","passed","Wed May 28 00:18:44 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","32","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Wed May 28 00:18:44 GMT 2025","passed","Wed May 28 00:18:44 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","50","Fetch user by ID - successful","QA|Nova Bank - Infopool","Wed May 28 00:18:41 GMT 2025","passed","Wed May 28 00:18:42 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Delete a report (soft delete)","33","Delete Report - Invalid id","QA|Nova Bank - Infopool","Wed May 28 00:18:46 GMT 2025","failed","Wed May 28 00:18:46 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","35","Invalid name - Search Customers","QA|Nova Bank - Infopool","Wed May 28 00:18:32 GMT 2025","failed","Wed May 28 00:18:32 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
