"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","139","No auth - Update role status","QA|Nova Bank - Infopool","Sun Feb 22 20:14:56 UTC 2026","broken","Sun Feb 22 20:14:56 UTC 2026","v1 > Roles > Update role","Bank Admin","",""
"Get a specific report by ID","142","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Sun Feb 22 20:15:00 UTC 2026","broken","Sun Feb 22 20:15:00 UTC 2026","v1 > Report > Get Report by UUID","Bank Admin","",""
"Create a new report","144","Create Report - Duplicate name","QA|Nova Bank - Infopool","Sun Feb 22 20:15:01 UTC 2026","broken","Sun Feb 22 20:15:01 UTC 2026","v1 > Report > Create Report","Bank Admin","",""
"","148","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Feb 22 20:14:36 UTC 2026","broken","Sun Feb 22 20:14:36 UTC 2026","v1 > Profile > Update profile","Bank User","",""
"","139","reset password","QA|Nova Bank - Infopool","Sun Feb 22 20:14:32 UTC 2026","broken","Sun Feb 22 20:14:32 UTC 2026","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","142","Get permission by ID - No auth","QA|Nova Bank - Infopool","Sun Feb 22 20:14:57 UTC 2026","broken","Sun Feb 22 20:14:57 UTC 2026","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","140","Update profile - no auth","QA|Nova Bank - Infopool","Sun Feb 22 20:14:35 UTC 2026","broken","Sun Feb 22 20:14:36 UTC 2026","v1 > Profile > Update profile","Bank User","",""
"","138","get user role","QA|Nova Bank - Infopool","Sun Feb 22 20:14:49 UTC 2026","broken","Sun Feb 22 20:14:49 UTC 2026","v1 > Users > Role > Get role","Bank Admin","",""
"","141","category by id","QA|Nova Bank - Infopool","Sun Feb 22 20:14:58 UTC 2026","broken","Sun Feb 22 20:14:58 UTC 2026","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","169","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sun Feb 22 20:14:39 UTC 2026","broken","Sun Feb 22 20:14:39 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","145","Get Issue by ID","QA|Nova Bank - Infopool","Sun Feb 22 20:14:40 UTC 2026","broken","Sun Feb 22 20:14:40 UTC 2026","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","141","Add Comment to Issue","QA|Nova Bank - Infopool","Sun Feb 22 20:14:41 UTC 2026","broken","Sun Feb 22 20:14:41 UTC 2026","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","141","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Feb 22 20:14:51 UTC 2026","broken","Sun Feb 22 20:14:51 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
