"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","59","Add attachment to issue","QA|Nova Bank - Infopool","Wed Nov 19 18:48:30 UTC 2025","broken","Wed Nov 19 18:48:30 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","55","No Auth - Search Customers","QA|Nova Bank - Infopool","Wed Nov 19 18:48:31 UTC 2025","broken","Wed Nov 19 18:48:31 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"Delete a report (soft delete)","50","Delete Report - Invalid id","QA|Nova Bank - Infopool","Wed Nov 19 18:48:38 UTC 2025","broken","Wed Nov 19 18:48:38 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"","54","resend_invitation_toUser","QA|Nova Bank - Infopool","Wed Nov 19 18:48:28 UTC 2025","broken","Wed Nov 19 18:48:28 UTC 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","52","Empty new password - Change password","QA|Nova Bank - Infopool","Wed Nov 19 18:48:27 UTC 2025","broken","Wed Nov 19 18:48:27 UTC 2025","v1 > Profile > Password","Bank User","",""
"Update an existing report","56","Update Report - No auth","QA|Nova Bank - Infopool","Wed Nov 19 18:48:38 UTC 2025","broken","Wed Nov 19 18:48:38 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","51","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Wed Nov 19 18:48:34 UTC 2025","broken","Wed Nov 19 18:48:34 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","56","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Wed Nov 19 18:48:30 UTC 2025","broken","Wed Nov 19 18:48:30 UTC 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","67","Empty current password - Change password","QA|Nova Bank - Infopool","Wed Nov 19 18:48:27 UTC 2025","broken","Wed Nov 19 18:48:27 UTC 2025","v1 > Profile > Password","Bank User","",""
"","56","No Auth - Search Customers","QA|Nova Bank - Infopool","Wed Nov 19 18:48:31 UTC 2025","broken","Wed Nov 19 18:48:31 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","61","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Nov 19 18:48:26 UTC 2025","broken","Wed Nov 19 18:48:26 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","55","Create  organization - without parent id","QA|Nova Bank - Infopool","Wed Nov 19 18:48:33 UTC 2025","broken","Wed Nov 19 18:48:33 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","48","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Wed Nov 19 18:48:36 UTC 2025","broken","Wed Nov 19 18:48:36 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","50","No auth - Create  organization","QA|Nova Bank - Infopool","Wed Nov 19 18:48:33 UTC 2025","broken","Wed Nov 19 18:48:33 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","53","Get Report Data - No auth","QA|Nova Bank - Infopool","Wed Nov 19 18:48:38 UTC 2025","broken","Wed Nov 19 18:48:38 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","54","Logout session successfully","QA|Nova Bank - Infopool","Wed Nov 19 18:48:37 UTC 2025","broken","Wed Nov 19 18:48:37 UTC 2025","v1 > Logout","Bank Admin","",""
"","54","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Wed Nov 19 18:48:33 UTC 2025","broken","Wed Nov 19 18:48:34 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","49","Health","QA|Nova Bank - Infopool","Wed Nov 19 18:48:32 UTC 2025","broken","Wed Nov 19 18:48:32 UTC 2025","v1 > Health","Bank Admin","",""
"","52","Update role status - role does not exist","QA|Nova Bank - Infopool","Wed Nov 19 18:48:36 UTC 2025","broken","Wed Nov 19 18:48:36 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","56","Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Nov 19 18:48:30 UTC 2025","broken","Wed Nov 19 18:48:30 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","56","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed Nov 19 18:48:31 UTC 2025","broken","Wed Nov 19 18:48:31 UTC 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
