"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","131","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Fri Nov 21 18:56:00 UTC 2025","broken","Fri Nov 21 18:56:00 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","154","Create organization - empty description","QA|Nova Bank - Infopool","Fri Nov 21 18:56:07 UTC 2025","broken","Fri Nov 21 18:56:08 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","138","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Nov 21 18:55:51 UTC 2025","broken","Fri Nov 21 18:55:51 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","163","No auth - Create a New Issue","QA|Nova Bank - Infopool","Fri Nov 21 18:55:57 UTC 2025","broken","Fri Nov 21 18:55:57 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","130","Update organization details by ID - successful","QA|Nova Bank - Infopool","Fri Nov 21 18:56:09 UTC 2025","broken","Fri Nov 21 18:56:09 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","128","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Fri Nov 21 18:56:01 UTC 2025","broken","Fri Nov 21 18:56:01 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","129","No auth - get all category","QA|Nova Bank - Infopool","Fri Nov 21 18:56:15 UTC 2025","broken","Fri Nov 21 18:56:15 UTC 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","133","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Fri Nov 21 18:56:02 UTC 2025","broken","Fri Nov 21 18:56:02 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","133","No auth - update role","QA|Nova Bank - Infopool","Fri Nov 21 18:56:07 UTC 2025","broken","Fri Nov 21 18:56:07 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","145","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Nov 21 18:56:03 UTC 2025","broken","Fri Nov 21 18:56:03 UTC 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","146","Create organization - empty street value","QA|Nova Bank - Infopool","Fri Nov 21 18:56:08 UTC 2025","broken","Fri Nov 21 18:56:08 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","137","Add attachment to issue","QA|Nova Bank - Infopool","Fri Nov 21 18:55:59 UTC 2025","broken","Fri Nov 21 18:55:59 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","130","Logout session - no session","QA|Nova Bank - Infopool","Fri Nov 21 18:56:15 UTC 2025","broken","Fri Nov 21 18:56:15 UTC 2025","v1 > Logout","Bank Admin","",""
"","127","Create organization - empty city value","QA|Nova Bank - Infopool","Fri Nov 21 18:56:08 UTC 2025","broken","Fri Nov 21 18:56:08 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","152","No user credentials","QA|Nova Bank - Infopool","Fri Nov 21 18:55:50 UTC 2025","broken","Fri Nov 21 18:55:50 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","129","Get all definitions","QA|Nova Bank - Infopool","Fri Nov 21 18:56:04 UTC 2025","broken","Fri Nov 21 18:56:04 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","123","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Fri Nov 21 18:56:11 UTC 2025","broken","Fri Nov 21 18:56:11 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","139","Get permission by ID - successful","QA|Nova Bank - Infopool","Fri Nov 21 18:56:14 UTC 2025","broken","Fri Nov 21 18:56:14 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
